,Descripción,Link
0,"niño indígena brasileña, retrato de tupi guaraní etnia ",https://media.istockphoto.com/id/1018492986/es/foto/ni%C3%B1o-ind%C3%ADgena-brasile%C3%B1a-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=yfpv_JuJa2bXd-njtP-d04djmzd-CjzDfu_xX6NXzd8=
1,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1017416208/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=Mf95l4ocJddj0QcZZCXScWUE87RMcux73bcPRtK090o=
2,"niño brasileño nativo de tupi guarani tribu, brasil ",https://media.istockphoto.com/id/890135444/es/foto/ni%C3%B1o-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-brasil.jpg?s=612x612&w=0&k=20&c=IL4mcI1oj4hj55EEe3hJYxs4f9vKcA3v_IfVJratVuI=
3,hombre brasileño nativo de tupi guarani tribu en brasil (indio) ,https://media.istockphoto.com/id/890135530/es/foto/hombre-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-en-brasil.jpg?s=612x612&w=0&k=20&c=3YJPbRzslWN98PjOgENhEPjX_aiWK94GPBh9m0SZkvM=
4,pintura tribal en el torso trasero del hombre indígena ,https://media.istockphoto.com/id/1391924977/es/foto/pintura-tribal-en-el-torso-trasero-del-hombre-ind%C3%ADgena.jpg?s=612x612&w=0&k=20&c=XVmC-UtMOlTu8w4ROTPd74i2wmajPMD2yQAIvK6VC0g=
5,"niña indígena de tribu tupí guaraní en manaus, brasil ",https://media.istockphoto.com/id/889684434/es/foto/ni%C3%B1a-ind%C3%ADgena-de-tribu-tup%C3%AD-guaran%C3%AD-en-manaus-brasil.jpg?s=612x612&w=0&k=20&c=4fIE-qSeE9Wrm3r9BGLyXIATP_e3gqTb7tz8JKX8vi0=
6,anciano chamán indígena de nacionalidad cofán rezando con sus manos unidas en la selva amazónica ,https://media.istockphoto.com/id/1344369440/es/foto/anciano-cham%C3%A1n-ind%C3%ADgena-de-nacionalidad-cof%C3%A1n-rezando-con-sus-manos-unidas-en-la-selva.jpg?s=612x612&w=0&k=20&c=au1iaJlRXFvGXm5c69oEUI-BDMcjs0WdcoJ581_atn4=
7,retrato de hombre joven brasileño indígenas de la etnia guaraní en el hogar ,https://media.istockphoto.com/id/1017445818/es/foto/retrato-de-hombre-joven-brasile%C3%B1o-ind%C3%ADgenas-de-la-etnia-guaran%C3%AD-en-el-hogar.jpg?s=612x612&w=0&k=20&c=w39-r9RZYb5YtQsUnuzkyj97uzzRyflYAnD4RpIMUaI=
8,hombre indígena montando una canoa en el bosque húmedo de brasil ,https://media.istockphoto.com/id/1391955317/es/foto/hombre-ind%C3%ADgena-montando-una-canoa-en-el-bosque-h%C3%BAmedo-de-brasil.jpg?s=612x612&w=0&k=20&c=11ccIV2-dPS4KEWoQE4_X7TysPgB14ViCIh3d732ziA=
9,hombre autóctonos de caza de amazon ,https://media.istockphoto.com/id/108176337/es/foto/hombre-aut%C3%B3ctonos-de-caza-de-amazon.jpg?s=612x612&w=0&k=20&c=XKMr9qAKWx580DGExP7lO-vKzmgG5a_xA1sz_ctRMyA=
