,Descripción,Link
0,"niño indígena brasileña, retrato de tupi guaraní etnia ",https://media.gettyimages.com/id/1018492986/es/foto/ni%C3%B1o-ind%C3%ADgena-brasile%C3%B1a-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=yfpv_JuJa2bXd-njtP-d04djmzd-CjzDfu_xX6NXzd8=
1,indígenas brasileños joven retrato de etnia guaraní ,https://media.gettyimages.com/id/1017416208/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=Mf95l4ocJddj0QcZZCXScWUE87RMcux73bcPRtK090o=
2,"indígena joven brasileña y su hijo, retrato de tupi guaraní etnia ",https://media.gettyimages.com/id/1018492984/es/foto/ind%C3%ADgena-joven-brasile%C3%B1a-y-su-hijo-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=NtXdTiyhYFV-tWIeNUoTrSw0a9Qq4t_yrjAnUSbbPvE=
3,hombre autóctonos de caza de amazon ,https://media.gettyimages.com/id/108176337/es/foto/hombre-aut%C3%B3ctonos-de-caza-de-amazon.jpg?s=612x612&w=0&k=20&c=XKMr9qAKWx580DGExP7lO-vKzmgG5a_xA1sz_ctRMyA=
4,retrato de hombre joven brasileño indígenas de la etnia guaraní en el hogar ,https://media.gettyimages.com/id/1017445818/es/foto/retrato-de-hombre-joven-brasile%C3%B1o-ind%C3%ADgenas-de-la-etnia-guaran%C3%AD-en-el-hogar.jpg?s=612x612&w=0&k=20&c=w39-r9RZYb5YtQsUnuzkyj97uzzRyflYAnD4RpIMUaI=
5,"mujer brasileña indígena, de etnia guaraní, cocina ""xipa"" ",https://media.gettyimages.com/id/1017440404/es/foto/mujer-brasile%C3%B1a-ind%C3%ADgena-de-etnia-guaran%C3%AD-cocina-xipa.jpg?s=612x612&w=0&k=20&c=Hp56LyS5poYgyw3SMa_3eyNGWKpDsyjNfOjcdft9Maw=
6,"indígena brasileña joven, retrato de la etnia guaraní ",https://media.gettyimages.com/id/1017659134/es/foto/ind%C3%ADgena-brasile%C3%B1a-joven-retrato-de-la-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=yDIs-sDvUPELPFlHgPApv5GEdjZWON7Fw8HctcyRY90=
7,indígenas brasileños joven retrato de etnia guaraní ,https://media.gettyimages.com/id/1018409392/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=hpGFssQSRHCEjzq0zOyuL_5vWCXqlspYZZWs3xS1Xzo=
8,indígenas brasileños joven retrato de etnia guaraní ,https://media.gettyimages.com/id/1018404048/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=ng5oQtwnICtLh68ADV1kmH3Mx952NPas13wC5ReAdXE=
9,joven brasileña indígena de la etnia guaraní que muestra la selva turística ,https://media.gettyimages.com/id/1018413534/es/foto/joven-brasile%C3%B1a-ind%C3%ADgena-de-la-etnia-guaran%C3%AD-que-muestra-la-selva-tur%C3%ADstica.jpg?s=612x612&w=0&k=20&c=irL4vE0QDd_PhhISPkOtthyX6zAOEMUAlPSV-q2Acos=
10,indígenas brasileño joven haciendo una mano gesticulando ,https://media.gettyimages.com/id/1019095788/es/foto/ind%C3%ADgenas-brasile%C3%B1o-joven-haciendo-una-mano-gesticulando-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=Nuf1zUHUUvAsjnigCZogSuItByMpOKSHGYuW1sEHXV4=
11,"indígena brasileña joven, retrato de la etnia guaraní ",https://media.gettyimages.com/id/1017663348/es/foto/ind%C3%ADgena-brasile%C3%B1a-joven-retrato-de-la-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=viQV_PEMcII0-TY9CZ_PdOgIFatxF_BMrKHFXN13uaM=
12,tres niñas niños lindo abrazar ,https://media.gettyimages.com/id/1019504822/es/foto/tres-ni%C3%B1as-ni%C3%B1os-lindo-abrazar.jpg?s=612x612&w=0&k=20&c=L3VfR7LWHefM3A4Q4wVLL0m-oiDerbZVbyqg5pMa2xU=
13,retrato de un niño nativo de la etnia guaraní tupí ,https://media.gettyimages.com/id/1268049403/es/foto/retrato-de-un-ni%C3%B1o-nativo-de-la-etnia-guaran%C3%AD-tup%C3%AD.jpg?s=612x612&w=0&k=20&c=OoZPeFcTMQdmilMBWB0L4aYMHcJXay_hzurV8VLpb8s=
14,"indígena brasileña joven, retrato de la etnia guaraní ",https://media.gettyimages.com/id/1018764064/es/foto/ind%C3%ADgena-brasile%C3%B1a-joven-retrato-de-la-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=CHUyD1VK9_yEw-PHdfn_grCPWqeLtQPWr3C58UiG33o=
15,indígenas brasileños joven retrato de etnia guaraní ,https://media.gettyimages.com/id/1018400936/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=0QI7uwbRtk1EudWV6Tu3cl9HBcObaVmS2pntiTx_MLk=
16,"indígenas brasileños jóvenes hombre retrato de etnia guaraní, mostrando su casa ",https://media.gettyimages.com/id/1017413936/es/foto/ind%C3%ADgenas-brasile%C3%B1os-j%C3%B3venes-hombre-retrato-de-etnia-guaran%C3%AD-mostrando-su-casa.jpg?s=612x612&w=0&k=20&c=wPMx5eXoosHTgVvNmLXinqk_S84_nJ2bvhM2Lk3wH0k=
