id,name,url,labels
1,1,./tribes_data/modern_clothing bracelets/1.jpg,"modern_clothing,bracelets"
2,2,./tribes_data/modern_clothing bracelets/2.jpg,"modern_clothing,bracelets"
3,3,./tribes_data/modern_clothing bracelets/3.jpg,"modern_clothing,bracelets"
4,4,./tribes_data/modern_clothing bracelets/4.jpg,"modern_clothing,bracelets"
5,5,./tribes_data/ancestral_clothing face_paint/5.jpg,"ancestral_clothing,face_paint"
6,6,./tribes_data/ancestral_clothing face_paint/6.jpg,"ancestral_clothing,face_paint"
7,7,./tribes_data/ancestral_clothing face_paint/7.jpg,"ancestral_clothing,face_paint"
8,8,./tribes_data/ancestral_clothing face_paint/8.jpg,"ancestral_clothing,face_paint"
9,9,./tribes_data/ancestral_clothing face_paint/9.jpg,"ancestral_clothing,face_paint"
10,10,./tribes_data/ancestral_clothing face_paint/10.jpg,"ancestral_clothing,face_paint"
11,11,./tribes_data/pendant ancestral_clothing/11.jpg,"pendant,ancestral_clothing"
12,12,./tribes_data/pendant ancestral_clothing/12.jpg,"pendant,ancestral_clothing"
13,13,./tribes_data/pendant ancestral_clothing/13.jpg,"pendant,ancestral_clothing"
14,14,./tribes_data/pendant ancestral_clothing/14.jpg,"pendant,ancestral_clothing"
15,15,./tribes_data/pendant ancestral_clothing/15.jpg,"pendant,ancestral_clothing"
16,16,./tribes_data/pendant ancestral_clothing/16.jpg,"pendant,ancestral_clothing"
17,17,./tribes_data/pendant ancestral_clothing/17.jpg,"pendant,ancestral_clothing"
18,18,./tribes_data/pendant ancestral_clothing/18.jpg,"pendant,ancestral_clothing"
19,19,./tribes_data/pendant ancestral_clothing/19.jpg,"pendant,ancestral_clothing"
20,20,./tribes_data/pendant ancestral_clothing/20.jpg,"pendant,ancestral_clothing"
21,21,./tribes_data/pendant ancestral_clothing/21.jpg,"pendant,ancestral_clothing"
22,22,./tribes_data/pendant ancestral_clothing/22.jpg,"pendant,ancestral_clothing"
23,23,./tribes_data/pendant ancestral_clothing/23.jpg,"pendant,ancestral_clothing"
24,24,./tribes_data/pendant ancestral_clothing/24.jpg,"pendant,ancestral_clothing"
25,25,./tribes_data/pendant ancestral_clothing/25.jpg,"pendant,ancestral_clothing"
26,26,./tribes_data/pendant ancestral_clothing/26.jpg,"pendant,ancestral_clothing"
27,27,./tribes_data/pendant ancestral_clothing/27.jpg,"pendant,ancestral_clothing"
28,28,./tribes_data/pendant ancestral_clothing/28.jpg,"pendant,ancestral_clothing"
29,29,./tribes_data/pendant ancestral_clothing/29.jpg,"pendant,ancestral_clothing"
30,30,./tribes_data/pendant ancestral_clothing/30.jpg,"pendant,ancestral_clothing"
31,31,./tribes_data/pendant ancestral_clothing/31.jpg,"pendant,ancestral_clothing"
32,32,./tribes_data/pendant ancestral_clothing/32.jpg,"pendant,ancestral_clothing"
33,33,./tribes_data/pendant ancestral_clothing/33.jpg,"pendant,ancestral_clothing"
