,Descripción,Link
0,"amazonia, peru - nov 10, 2010: unidentified amazonian indigenous smiling woman. indigenous people of amazonia are protected by coica (coordinator of indigenous organizations of the amazon river basin)",https://www.shutterstock.com/image-photo/amazonia-peru-nov-10-2010-600nw-434574382.jpg
1,"dos hombres de la etnia dessana tukuya tocan un instrumento de viento de su cultura para entretener a los turistas. ciudad de manaos, estado de amazonas, brasil, 5 de noviembre de 2024",https://www.shutterstock.com/image-photo/two-men-dessana-tukuya-ethnic-600nw-2541215563.jpg
2,modern tribal gypsy girl style,https://www.shutterstock.com/image-photo/modern-tribal-gypsy-girl-style-600nw-718248988.jpg
3,foto de la poderosa dama valquiria hechicera oscura usar la magia de la maldición para ganar en la batalla del norte sobre fondo de niebla,https://www.shutterstock.com/image-photo/photo-powerful-lady-valkyrie-dark-600nw-2513116587.jpg
4,"palmari, brazil - may 6, 2016: traditional, indian  boats  on the bank of the river",https://www.shutterstock.com/image-photo/palmari-brazil-may-6-2016-600nw-506060245.jpg
5,"orinoco, venezuela - 11-23-2021: niños indígenas orinoco nativos nadando en canoa de madera tradicional",https://www.shutterstock.com/image-photo/orinoco-venezuela-11232021-native-indigenous-600nw-2105316656.jpg
6,"perú. vista aérea de rio momon. top view of amazon rainforest, cerca de iquitos, perú. sudamérica. ",https://www.shutterstock.com/image-photo/peru-aerial-view-rio-momon-600nw-2160745235.jpg
7,"
musa acuminata is a species of banana native to southeast asia. musaceae family.",https://www.shutterstock.com/image-photo/musa-acuminata-species-banana-native-600nw-1421307503.jpg
8,puesta de sol en el río amazonas con aguas abiertas - foto de stock perú,https://www.shutterstock.com/image-photo/amazon-river-sunset-open-water-600nw-2455932943.jpg
9,"amazon river / peru - 12 may 2011: indian village on amazon river, peru, south america",https://www.shutterstock.com/image-photo/amazon-river-peru-12-may-600nw-1679225026.jpg
10,bends of the river mana before the ocean,https://www.shutterstock.com/image-photo/bends-river-mana-before-ocean-600nw-1497437294.jpg
11,"amazonas region, peru - march, 2019: the people of the amazon, an indigenous people in a typical scene at their village.",https://www.shutterstock.com/image-photo/amazonas-region-peru-march-2019-600nw-1513054112.jpg
12,"beautiful tribal girl,tribe in beautiful costume dress,traditional tribal culture.",https://www.shutterstock.com/image-photo/beautiful-tribal-girltribe-costume-dresstraditional-600nw-468361187.jpg
13,"an elder member of the yagua tribe wearing his traditional head dress, near iquitos in the peruvian amazon. may 5, 2013",https://www.shutterstock.com/image-photo/elder-member-yagua-tribe-wearing-600nw-735034570.jpg
14,"santa cruz cabralia, bahia / brazil - april 21, 2009: ethnic pataxo indians are seen at a soccer match at coroa vermelha village during the ix edition of the indian games (joa souza). ",https://www.shutterstock.com/image-photo/santa-cruz-cabralia-bahia-brazil-600nw-1573750009.jpg
15,emotional brunette girl with long hair in the amazon costume with bow and arrow on a white background.,https://www.shutterstock.com/image-photo/emotional-brunette-girl-long-hair-600nw-494122438.jpg
16,small wooden shack in amazon river cove with afternoon rain shower,https://www.shutterstock.com/image-photo/small-wooden-shack-amazon-river-600nw-689026096.jpg
17,"sao paulo, sp, brasil - 23 de junio de 2024: medicina kambo, medicina tradicional indígena de la amazonía extraída de la rana kambo.",https://www.shutterstock.com/image-photo/sao-paulo-sp-brazil-june-600nw-2481638457.jpg
18,tres típicas jarras de arcilla al horno de la región norte de brasil,https://www.shutterstock.com/image-photo/three-typical-baked-clay-jars-600nw-2247389963.jpg
19,"stunning aerial view of amazon canopy. the roof of the world's rainforest, treetop of amazing unique amazonian species ",https://www.shutterstock.com/image-photo/stunning-aerial-view-amazon-canopy-600nw-1331647637.jpg
20,"hermosa vista de un bote indígena que cruza un río en la selva amazónica venezolana, con el equipo de wichuj, wajari y autana en el fondo y un impresionante cielo",https://www.shutterstock.com/image-photo/beautiful-view-indigenous-boat-crossing-600nw-2354486377.jpg
21,"jaguar is a cat, a feline in the panthera genus only extant panthera species native to the americas. jaguar is the third-largest feline after the tiger and lion, and the largest in the americas.",https://www.shutterstock.com/image-photo/jaguar-cat-feline-panthera-genus-600nw-1223152258.jpg
22,"a young amazon with a bow in the rainforest, book cover style",https://www.shutterstock.com/image-photo/young-amazon-bow-rainforest-book-600nw-445435432.jpg
23,"paumari, brasil - sep 2017: vista del río javari, el afluente del río amazonas en temporada baja. hombres con techo de palmeras, valle de javari (valle del yavarí) sudamérica",https://www.shutterstock.com/image-photo/paumari-brazil-sep-2017-view-600nw-2295748449.jpg
24,"klaten, indonesia, 19 de junio de 2024: desde el interior de la mezquita de al aqsa, klaten miró al otro lado del interior de la mezquita, que era único para combinar madera y hierro como adorno interior.",https://www.shutterstock.com/image-photo/klaten-indonesia-june-19-2024-600nw-2496242373.jpg
25,"hornbills bucerotidae, phuket province, thailand",https://www.shutterstock.com/image-photo/hornbills-bucerotidae-phuket-province-thailand-600nw-1014554857.jpg
26,"ilheus, bahia / brazil - february 15, 2014: national force agents survey armed conflict area between farmers and tupinamba indians in rural ilheus (ba) (joa souza).",https://www.shutterstock.com/image-photo/ilheus-bahia-brazil-february-15-600nw-1572309256.jpg
27,woman athlete gymnast in the form of an elf performs acrobatics on a black background in the scenic red and blue light.,https://www.shutterstock.com/image-photo/woman-athlete-gymnast-form-elf-600nw-580953436.jpg
28,village along the rio samiria amazon at dawn with thatch huts and smoky sky.  canoe in foreground.,https://www.shutterstock.com/image-photo/village-along-rio-samiria-amazon-600nw-688941862.jpg
29,"stunning top view of amazon canopy. the roof of the world's rainforest, treetop of amazing exotic species ",https://www.shutterstock.com/image-photo/stunning-top-view-amazon-canopy-600nw-1330696601.jpg
30,"kapawi, ecuador - 8 de noviembre de 2014: guía de turismo indígena ecuatoriano ashuar haciendo una demostración de arte y artesanía en cestas tejiendo con plantas de selva amazónica.",https://www.shutterstock.com/image-photo/kapawi-ecuador-november-8-2014-600nw-2142619941.jpg
31,"great hornbill, great indian hornbill, great pied hornbill, hornbill.",https://www.shutterstock.com/image-photo/great-hornbill-indian-pied-600nw-236139403.jpg
32,"hermosos loros coloridos. souvenirs en la selva amazónica hechos de nueces y animales locales cerca de iquitos. mercado para turistas en el río amazonas. amazonas, perú.",https://www.shutterstock.com/image-photo/beautiful-colorful-parrots-souvenirs-amazon-600nw-2162064079.jpg
33,"the blue-and-gold macaw with a gorgeous blue body and dark lemon-yellow chest, native to south and central america.",https://www.shutterstock.com/image-photo/blueandgold-macaw-gorgeous-blue-body-600nw-1215397609.jpg
34,hojas de palma brasileña mauritia flexuosa. flora brasilis. palmera de extracción vegetal.,https://www.shutterstock.com/image-photo/brazilian-palm-leaves-mauritia-flexuosa-600nw-2463568297.jpg
