,Descripción,Link
0,la silueta de una pequeña canoa en el río guaporé al atardecer ,https://media.istockphoto.com/id/1413147638/es/foto/la-silueta-de-una-peque%C3%B1a-canoa-en-el-r%C3%ADo-guapor%C3%A9-al-atardecer.jpg?s=612x612&w=0&k=20&c=lYWn8ojdOnHYEruMu38Fix42TMmtTjTVb21ODRdsdRw=
1,"niño indígena brasileña, retrato de tupi guaraní etnia ",https://media.istockphoto.com/id/1018492986/es/foto/ni%C3%B1o-ind%C3%ADgena-brasile%C3%B1a-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=yfpv_JuJa2bXd-njtP-d04djmzd-CjzDfu_xX6NXzd8=
2,arte tribal indígena de la tribu asurini ,https://media.istockphoto.com/id/1391926152/es/foto/arte-tribal-ind%C3%ADgena-de-la-tribu-asurini.jpg?s=612x612&w=0&k=20&c=SSs5HQYSlUBqJ8oWgECs8_-SnxdbKNHmzzV7ow6EwXU=
3,indígenas brasileños joven retrato de etnia guaraní ,https://media.istockphoto.com/id/1017416208/es/foto/ind%C3%ADgenas-brasile%C3%B1os-joven-retrato-de-etnia-guaran%C3%AD.jpg?s=612x612&w=0&k=20&c=Mf95l4ocJddj0QcZZCXScWUE87RMcux73bcPRtK090o=
4,caza de binan tukum anciana tribal con su hijo por monos en la selva ,https://media.istockphoto.com/id/1015743086/es/foto/caza-de-binan-tukum-anciana-tribal-con-su-hijo-por-monos-en-la-selva.jpg?s=612x612&w=0&k=20&c=s0BUI5R2H36jk-oo-2cLbZWfBNIXYdIx9zBUP0RHsMg=
5,"niño brasileño nativo de tupi guarani tribu, brasil ",https://media.istockphoto.com/id/890135444/es/foto/ni%C3%B1o-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-brasil.jpg?s=612x612&w=0&k=20&c=IL4mcI1oj4hj55EEe3hJYxs4f9vKcA3v_IfVJratVuI=
6,hombre brasileño nativo de tupi guarani tribu en brasil (indio) ,https://media.istockphoto.com/id/890135530/es/foto/hombre-brasile%C3%B1o-nativo-de-tupi-guarani-tribu-en-brasil.jpg?s=612x612&w=0&k=20&c=3YJPbRzslWN98PjOgENhEPjX_aiWK94GPBh9m0SZkvM=
7,pintura tribal en el torso trasero del hombre indígena ,https://media.istockphoto.com/id/1391924977/es/foto/pintura-tribal-en-el-torso-trasero-del-hombre-ind%C3%ADgena.jpg?s=612x612&w=0&k=20&c=XVmC-UtMOlTu8w4ROTPd74i2wmajPMD2yQAIvK6VC0g=
8,"indígena joven brasileña y su hijo, retrato de tupi guaraní etnia ",https://media.istockphoto.com/id/1018492984/es/foto/ind%C3%ADgena-joven-brasile%C3%B1a-y-su-hijo-retrato-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=NtXdTiyhYFV-tWIeNUoTrSw0a9Qq4t_yrjAnUSbbPvE=
9,"niña indígena de tribu tupí guaraní en manaus, brasil ",https://media.istockphoto.com/id/889684434/es/foto/ni%C3%B1a-ind%C3%ADgena-de-tribu-tup%C3%AD-guaran%C3%AD-en-manaus-brasil.jpg?s=612x612&w=0&k=20&c=4fIE-qSeE9Wrm3r9BGLyXIATP_e3gqTb7tz8JKX8vi0=
10,anciano chamán indígena de nacionalidad cofán rezando con sus manos unidas en la selva amazónica ,https://media.istockphoto.com/id/1344369440/es/foto/anciano-cham%C3%A1n-ind%C3%ADgena-de-nacionalidad-cof%C3%A1n-rezando-con-sus-manos-unidas-en-la-selva.jpg?s=612x612&w=0&k=20&c=au1iaJlRXFvGXm5c69oEUI-BDMcjs0WdcoJ581_atn4=
11,indian hut en brasil. ,https://media.istockphoto.com/id/529099037/es/foto/indian-hut-en-brasil.jpg?s=612x612&w=0&k=20&c=ix7BL0xdIZRjQQ7uLfz1u243O9_pLmLFkA8YY59PDpQ=
12,un indio en su pueblo ,https://media.istockphoto.com/id/1313554333/es/foto/un-indio-en-su-pueblo.jpg?s=612x612&w=0&k=20&c=4loOyq8vPwzRkd6KTsADd56epDYq7nxxjmwm2G7Gykk=
13,retrato de hombre joven brasileño indígenas de la etnia guaraní en el hogar ,https://media.istockphoto.com/id/1017445818/es/foto/retrato-de-hombre-joven-brasile%C3%B1o-ind%C3%ADgenas-de-la-etnia-guaran%C3%AD-en-el-hogar.jpg?s=612x612&w=0&k=20&c=w39-r9RZYb5YtQsUnuzkyj97uzzRyflYAnD4RpIMUaI=
14,hombre indígena montando una canoa en el bosque húmedo de brasil ,https://media.istockphoto.com/id/1391955317/es/foto/hombre-ind%C3%ADgena-montando-una-canoa-en-el-bosque-h%C3%BAmedo-de-brasil.jpg?s=612x612&w=0&k=20&c=11ccIV2-dPS4KEWoQE4_X7TysPgB14ViCIh3d732ziA=
15,"tribu indígena en medio de la selva amazónica, en brasil. panorámico ",https://media.istockphoto.com/id/1343900285/es/foto/tribu-ind%C3%ADgena-en-medio-de-la-selva-amaz%C3%B3nica-en-brasil-panor%C3%A1mico.jpg?s=612x612&w=0&k=20&c=HRqeZYPsM1Tzsi6iNoa1-N_s3_kkArZoYOaIcMna55Y=
16,nativo brasileño grupo tocando acanaladura de madera ,https://media.istockphoto.com/id/495740152/es/foto/nativo-brasile%C3%B1o-grupo-tocando-acanaladura-de-madera.jpg?s=612x612&w=0&k=20&c=YMsnrFxTktvr3aTdeyStmnT26l-5gwjmkhLJpuWjED4=
17,hombre autóctonos de caza de amazon ,https://media.istockphoto.com/id/108176337/es/foto/hombre-aut%C3%B3ctonos-de-caza-de-amazon.jpg?s=612x612&w=0&k=20&c=XKMr9qAKWx580DGExP7lO-vKzmgG5a_xA1sz_ctRMyA=
18,los nativos de la amazonia ,https://media.istockphoto.com/id/642816284/es/foto/los-nativos-de-la-amazonia.jpg?s=612x612&w=0&k=20&c=f8Dl4Jj-LVQGZmiISiU-hm5xCCCr0BDYtR-ccnCl_Zo=
19,retrato de indígenas hermanas brasileñas de tupi guaraní etnia ,https://media.istockphoto.com/id/1019090294/es/foto/retrato-de-ind%C3%ADgenas-hermanas-brasile%C3%B1as-de-tupi-guaran%C3%AD-etnia.jpg?s=612x612&w=0&k=20&c=kpNJqc3-QXjnNIAkB66LYeE7mkEmSZdwJZnQ7CK0oSk=
