id,name,url,labels
1,1,datasets/labeled_data\animal\1.jpg,animal
2,2,datasets/labeled_data\animal\2.jpg,animal
3,3,datasets/labeled_data\animal\3.jpg,animal
4,4,datasets/labeled_data\animal\4.jpg,animal
5,5,datasets/labeled_data\animal\5.jpg,animal
6,6,datasets/labeled_data\animal\6.jpg,animal
7,7,datasets/labeled_data\animal\7.jpg,animal
8,8,datasets/labeled_data\animal\8.jpg,animal
9,9,datasets/labeled_data\animal\9.jpg,animal
10,10,datasets/labeled_data\animal\10.jpg,animal
11,11,datasets/labeled_data\animal\11.jpg,animal
12,12,datasets/labeled_data\animal\12.jpg,animal
13,13,datasets/labeled_data\animal\13.jpg,animal
14,14,datasets/labeled_data\animal\14.jpg,animal
15,15,datasets/labeled_data\animal\15.jpg,animal
16,16,datasets/labeled_data\animal\16.jpg,animal
17,17,datasets/labeled_data\animal\17.jpg,animal
18,18,datasets/labeled_data\animal\18.jpg,animal
19,19,datasets/labeled_data\animal\19.jpg,animal
20,20,datasets/labeled_data\animal\20.jpg,animal
21,21,datasets/labeled_data\animal\21.jpg,animal
22,22,datasets/labeled_data\animal\22.jpg,animal
23,23,datasets/labeled_data\animal\23.jpg,animal
24,24,datasets/labeled_data\animal\24.jpg,animal
25,25,datasets/labeled_data\animal\25.jpg,animal
26,26,datasets/labeled_data\animal\26.jpg,animal
27,27,datasets/labeled_data\animal\27.jpg,animal
28,28,datasets/labeled_data\animal\28.jpg,animal
29,29,datasets/labeled_data\animal\29.jpg,animal
30,30,datasets/labeled_data\animal\30.jpg,animal
31,31,datasets/labeled_data\animal\31.jpg,animal
32,32,datasets/labeled_data\animal\32.jpg,animal
33,33,datasets/labeled_data\animal\33.jpg,animal
34,34,datasets/labeled_data\animal\34.jpg,animal
35,35,datasets/labeled_data\animal\35.jpg,animal
36,36,datasets/labeled_data\animal\36.jpg,animal
37,37,datasets/labeled_data\animal\37.jpg,animal
38,38,datasets/labeled_data\animal\38.jpg,animal
39,39,datasets/labeled_data\animal\39.jpg,animal
40,40,datasets/labeled_data\animal\40.jpg,animal
