id,name,url,labels
2578,2578,datasets/labeled_data\human\2578.jpg,human
5999,5999,datasets/labeled_data\human\5999.jpg,human
7020,7020,datasets/labeled_data\object\7020.jpg,object
6661,6661,datasets/labeled_data\object\6661.jpg,object
6638,6638,datasets/labeled_data\object\6638.jpg,object
5601,5601,datasets/labeled_data\human\5601.jpg,human
3006,3006,datasets/labeled_data\human\3006.jpg,human
6998,6998,datasets/labeled_data\object\6998.jpg,object
6722,6722,datasets/labeled_data\object\6722.jpg,object
5328,5328,datasets/labeled_data\human\5328.jpg,human
3128,3128,datasets/labeled_data\human\3128.jpg,human
5499,5499,datasets/labeled_data\human\5499.jpg,human
7366,7366,datasets/labeled_data\terrain\7366.jpg,terrain
6175,6175,datasets/labeled_data\human\6175.jpg,human
3897,3897,datasets/labeled_data\human\3897.jpg,human
503,503,datasets/labeled_data\animal\503.jpg,animal
5179,5179,datasets/labeled_data\human\5179.jpg,human
2808,2808,datasets/labeled_data\human\2808.jpg,human
5029,5029,datasets/labeled_data\human\5029.jpg,human
7247,7247,datasets/labeled_data\terrain\7247.jpg,terrain
2624,2624,datasets/labeled_data\human\2624.jpg,human
6194,6194,datasets/labeled_data\human\6194.jpg,human
5558,5558,datasets/labeled_data\human\5558.jpg,human
3598,3598,datasets/labeled_data\human\3598.jpg,human
927,927,datasets/labeled_data\animal\927.jpg,animal
7011,7011,datasets/labeled_data\object\7011.jpg,object
4625,4625,datasets/labeled_data\human\4625.jpg,human
2709,2709,datasets/labeled_data\human\2709.jpg,human
3378,3378,datasets/labeled_data\human\3378.jpg,human
3886,3886,datasets/labeled_data\human\3886.jpg,human
6996,6996,datasets/labeled_data\object\6996.jpg,object
4727,4727,datasets/labeled_data\human\4727.jpg,human
5430,5430,datasets/labeled_data\human\5430.jpg,human
227,227,datasets/labeled_data\animal\227.jpg,animal
1786,1786,datasets/labeled_data\animal\1786.jpg,animal
4328,4328,datasets/labeled_data\human\4328.jpg,human
1195,1195,datasets/labeled_data\animal\1195.jpg,animal
6020,6020,datasets/labeled_data\human\6020.jpg,human
1935,1935,datasets/labeled_data\animal human\1935.jpg,"animal,human"
7005,7005,datasets/labeled_data\object\7005.jpg,object
4605,4605,datasets/labeled_data\human\4605.jpg,human
4686,4686,datasets/labeled_data\human\4686.jpg,human
2324,2324,datasets/labeled_data\human\2324.jpg,human
7400,7400,datasets/labeled_data\terrain\7400.jpg,terrain
3109,3109,datasets/labeled_data\human\3109.jpg,human
778,778,datasets/labeled_data\animal\778.jpg,animal
1690,1690,datasets/labeled_data\animal\1690.jpg,animal
287,287,datasets/labeled_data\animal\287.jpg,animal
1470,1470,datasets/labeled_data\animal\1470.jpg,animal
